language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_after_tomorrow,value_day_before_yesterday,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Genus,Country_ID,society_ID,society,dominant subsistence type,,Macroarea,Subsistence economy: gathering [EA001],Subsistence economy: hunting [EA002],Subsistence economy: fishing [EA003],Subsistence economy: animal husbandry [EA004],Subsistence economy: agriculture [EA005],,,Population size [EA202],,Mean size of local communities [EA031],,,,,,,,,,,,
Acholi,la woro,tin,diki,nino ni,nino ma okato前一天,nino ma lubo diki后天 明天,nino aryo,nino aryo ma peya i kare ni,nino aryo inge kombedi,nino angwen,nino angwen ma peya i kare ni,nino angwen ki kombedi,nino adek,nino adek ma peya i kare ni,nino adek ki kombedi,1,1,1,0,0,Africa,3,32.66666667,acol1236,ach,Nilo-Saharan,Western Nilotic,UG SS,Ai32,Lugbara,lugb1240,Lugbara,East Tropical Africa,6-15%,0-5%,0-5%,36-45%,46-55%,1920,,240000,1929,,,,,,,,,,,,,
Assamese,কালি,আজি,কাইলৈ,দিনটো,কালিৰ আগদিনা,কাইলৈৰ পিছদিনা,দুদিন,এতিয়াৰ দুদিন আগতে,এতিয়াৰ দুদিন পিছত,চাৰিদিন,এতিয়াৰ চাৰিদিন আগতে,চাৰিদিন পিছত,তিনিদিন,এতিয়াৰ তিনিদিন আগতে,তিনিদিন পিছত,1,1,1,0.5,0.5,Eurasia,26,93,assa1263,asm,Indo-European,Indic,IN,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,dünən,bu gün,sabah,gün,dünənki gün,sabahdan sonra,iki gün,indidən iki gün əvvəl,iki gün sonra,dörd gün,indi dörd gün əvvəl,bundan dörd gün sonra,üç gün,indidən üç gün əvvəl,indidən üç gün sonra,1,1,1,0.5,0.5,Eurasia,40.5,48.5,azer1255,azb azj,Altaic,Turkic,AZ IR,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Awadhi,काल्हि,आजु,आवय वाला काल्हि,दिन,कल से पहिले दिन,परसों के बाद का दिन,दुइ दिन,अब से दुइ दिन पहिले,अब दुइ दिन बाद,चार दिन,अब से चार दिन पहिले,अब से चार दिन बाद,तीन दिन,अब से तीन दिन पहिले,अब से तीन दिन बाद,1,1,0.5,0.5,0.5,Eurasia,27.5,81.5,awad1243,awa,Indo-European,Indic,IN NP,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Avar,сон,жакъа,метер,къо;,Метер цебесеб къоялъ .,Нолъ хадусеб къо .明天 后天,кӀиго къо,гьанже кӀиго къоялъ цебе,гьанже кӀиго къоялдасан,Лъабго къо .,Ункъо къоялъ цебе .,Гьанжеялдаса ункъо къоялдасан .,Лъабго къо .,Лъабго къоялъ цебе,Гьанжеялдаса лъабго къоялдасан .,1,1,1,0.5,0,Eurasia,42.5,46.5,avar1256,ava,Northeast Caucasian,Avar-Andic-Tsezic,AZ RU,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Aymara,wasüru,jichhüru,qharüru,uka uruxa,qharüru nayrïr uru,qharüru qhipa uru,pä uru,pä uru nayraqata,pä uru qhipatsti,pusi uru,pusi uru nayraqata,pusi urunak saraqataruw purini,kimsa uru,kimsa uru nayraqata,kimsa urut jichhakama,1,1,1,0.5,0,South America,-17,-69,cent2142,ayr,Aymaran,Aymaran,,Sf2,Aymara,cent2142,Central Aymara,Western South America,0-5%,0-5%,6-15%,26-35%,56-65%,1940,,600000,1936,,,,,,,,,,,,,
Balinese,ibi,dina jani,binmani,rahina,rahina sadurung dibi,rahina benjang,kalih rahina,kalih rahina sadurung mangkin,kalih rahina sasampun mangkin,petang rahina,petang rahina sadurung mangkin,petang rahina saking mangkin,tigang rahina,tigang rahina sadurung mangkin,tigang rahina saking mangkin,1,1,1,0.5,0,Papunesia,-8.333333333,115.25,bali1278,ban,Austronesian,Malayo-Sumbawan,ID,Ib3,Balinese,bali1278,Balinese,Malesia,0-5%,0-5%,0-5%,26-35%,66-75%,1950,,1000000,1959,200-399,,,,,,,,,,,,
Balochi,زِی,مرچی,باندا,روش,کل ئا شہ پیشا روش,باندا پذا روش,دو روش,کل ئا شہ پیشا روش,باندا پذا روش,چار روش,چہ نوں چار روچ پیسر,چار روچ ءَ پد,سئے روش,چہ نوں سئے روچ پیسر,چہ نوں سئے روچ ءَ,1,1,1,0,0.5,Eurasia,28,62,west2368,bgn,Indo-European,Iranian,,Ea10,Marri,east2304,Eastern Balochi,Indian Subcontinent,6-15%,0-5%,0-5%,46-55%,36-45%,1950,,60000,1955,50,,,,,,,,,,,,
Bashkir,кисэнге,бөгөн,иртәгә,көн .,кисәге көн,иртәгәнән һуңғы көн,ике көн .,ике көн элек,ике көндән һуң,дүрт көн .,дүрт көн элек,дүрт көндән,өс көн .,өс көн элек,өс көндән,1,1,1,0,0.5,Eurasia,53,58,bash1264,bak,Altaic,Turkic,RU,ch12,Bashkir,bash1264,Bashkir,Eastern Europe,0-5%,0-5%,0-5%,46-55%,46-55%,1899,,1320000,1897,50000,,,,,,,,,,,,
Basque,atzo,gaur,bihar,eguna,bezperan,biharamunean,bi egun,orain bi egun lehenago,handik bi egunera,lau egun,orain lau egun lehenago,hemendik lau egunetara,hiru egun,orain hiru egun lehenago,hemendik hiru egunetara,1,1,1,0,0,Eurasia,43,-3.833333333,basq1248,eus,Isolates,Basque,,SCCS50,Spanish Basques,west1508,Western Low Navarrese,Southwestern Europe,None,,,,,,,,,,,,,,,,,,,,,
Batak Karo,nderbih,wari enda,pagi,wari e,sada wari ope kemarin,wari kenca pagi,dua wari,dua wari ope denga gundari,dua wari kenca genduari,empat wari dekahna .,empat wari ope denga genduari ,empat wari nari .,telu wari dekahna .,telu wari ope denga genduari .,telu wari nari .,1,1,1,0.5,0,Papunesia,3.25,98.25,bata1293,btx,Austronesian,Northwest Sumatra-Barrier Islands,ID,Ib4,Toba Batak,bata1289,Batak Toba,Malesia,None,,,,,,,,,,,,,,,,,,,,,
Batak Toba,natuari,ari on,sogot,ari i,sadari andorang so nantoari,ari haduan,dua ari,dua ari andorang so saonari .,dua ari dungkon on .,opat ari .,opat ari andorang so saonari .,opat ari nai .,tolu ari .,tolu ari andorang so nuaeng .,tolu ari nai .,1,1,1,0.5,0,Papunesia,2.5,99,bata1289,bbc,Austronesian,Northwest Sumatra-Barrier Islands,ID,,Toba Batak,bata1289,Batak Toba,Malesia,0-5%,0-5%,6-15%,16-25%,66-75%,1930,,1000000,1959,,,,,,,,,,,,,
Batak Simalungun,nantuari,sadarion,patar,ari ai,sadari paima nantuari,patar,dua ari,dua ari paima sonari,dua ari dobkonsi sonari,ompat ari,ompat ari paima sonari,ompat ari hunjon,tolu ari,tolu ari paima sonari,tolu ari hunjon,1,1,1,0.5,0,Papunesia,3.04,98.91,,bts,Austronesian,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Baoure,annun'man,andɛ,ayin'man,tʃin .,annunman tʃin ng'ɔ dun mmua,ainman tʃin sin,tʃin n'ɲon,tʃin n'ɲon ka naan y'a ju,cɛn nɲɔn sinnin siɛn’n,tʃin nnan .,cɛn nnan ka naan w’a ju .,ɔ ka cɛn nnan,tʃin nsan .,cɛn nsan ka naan w’a ju .,cɛn nsan kɛ é sé yɛ’n,1,1,1,0,0.5,Africa,7,-5,baou1238,bci,Niger-Congo,Tano,CI,Af9,Baule,baou1238,Baoulé,West Tropical Africa,0-5%,6-15%,16-25%,6-15%,56-65%,1900,,383000,1950,,,,,,,,,,,,,
Belarusian,учора,сёння,заўтра,дзень,пазаўчора,паслязаўтра,два дні,два дні таму,праз два дні,чатыры дні,чатыры дні таму,праз чатыры дні,тры дні,тры дні таму,праз тры дні,1,1,1,1,1,Eurasia,53.23,25.6,bela1254,,Indo-European,,,,Byelorussians,bela1254,Belarusian,Eastern Europe,0-5%,0-5%,6-15%,26-35%,56-65%,1910,,,,5000-50000,,,,,,,,,,,,
Bambara,kunu,bi,sini,o don,don min bɛ kɔn kunun ɲɛ,sini o don kɔfɛ,tile fila,tile fila ka kɔn sisan ɲɛ,tile fila o kɔfɛ sisan,tile naani,tile naani ka kɔn sisan ɲɛ,tile naani ka bɔ sisan,tile saba,tile saba ka kɔn sisan ɲɛ,tile saba ka bɔ sisan,1,0.25,1,0.5,0.5,Africa,12.5,-7.5,bamb1269,bam,Niger-Congo,Western Mande,ML,,Bambara,bamb1269,Bambara,West Tropical Africa,16-25%,0-5%,6-15%,16-25%,46-55%,1920,,"	500000",1902,5000-50000,,,,,,,,,,,,
Bhojpuri,काल्हु के भइल (It happened yesterday),आजु,काल्हु,दिन के बा,काल्हु से एक दिन पहिले के बात बा (It was the day before yesterday),काल्ह के बाद के दिन,दू दिन के बा,अब से दू दिन पहिले के बा,अब से दू दिन बाद,चार दिन के बा,अब से चार दिन पहिले के बा,अब से चार दिन बाद,तीन दिन के बा,अब से तीन दिन पहिले के बा,अब से तीन दिन बाद,0,1,1,0,0.5,Eurasia,26,84,bhoj1244,bho,Indo-European,Indic,IN,Ef11,Uttar Pradesh,bhoj1244,Bhojpuri,Indian Subcontinent,0-5%,0-5%,0-5%,16-25%,76-85%,1945,,1400,1941,50000,,,,,,,,,,,,
Breton,dec'h,hiziv,warc'hoazh,an deiz,an deiz a-raok dec'h,an deiz war-lerc'h,daou zevezh,daou zevezh a-raok bremañ,daou zevezh goude bremañ,pevar devezh |,pevar devezh a-raok bremañ,pevar devezh a-benn bremañ,tri devezh,tri devezh a-raok bremañ,tri devezh a-benn bremañ,1,1,1,0.5,0,Eurasia,48,-3,bret1244,bre,Indo-European,Celtic,FR,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Bikol,kasuhapon,ngonyan,sa aga,an aldaw,an aldaw bago kasuodma,an aldaw pagkatapos kan aga,duwang aldaw,duwang aldaw bago ngunyan,duwang aldaw pagkatapos ngunyan,apat na aldaw,apat na aldaw bago ngunyan,apat na aldaw poon ngonian,tolong aldaw,tolong aldaw bago ngunyan,tolong aldaw poon ngonian,1,0.25,1,0.5,0,Papunesia,13.33333333,123.5,cent2087,bcl,Austronesian,Greater Central Philippine,PH,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Burmese,မနေ့က,ဒီနေ့,မနက်ဖြန်,နေ့ရက်,မနေ့ က,သဘက်ခါ,နှစ်ရက်,အရင်နှစ်ရက်က,အခုနောက်နှစ်ရက်,လေးရက်,အခု လေးရက်လောက်က,ယခုမှလေးရက်,သုံးရက်,အရင်သုံးရက်လောက်က,အခုမှ သုံးရက်,1,1,1,1,1,Eurasia,21,96,nucl1310,mya,Sino-Tibetan,Burmese-Lolo,MM,Ei3,Burmese,nucl1310,Burmese,Indo-China,0-5%,0-5%,0-5%,16-25%,76-85%,1950,,,,50000,,,,,,,,,,,,
Buryat,үсэгэлдэр,мүнөөдэр,үглөөдэр,үдэр,урда үдэр,үглөөдэр（tomorrow）,хоёр үдэр,хоёр үдэр урид,хоёр үдэрэй һүүлдэ,дүрбэн үдэр,дүрбэн үдэр урид,дүрбэн үдэр болоод,гурбан үдэр,гурбан үдэр урид,гурбан үдэр болоод,1,1,1,0,0,Eurasia,51.83,107.6,buri1258,,Altaic,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Canadian,nyɛ,ŋmene,wɔ́,gbi lɛ nɔ,gbi ni tsɔ nyɛ hiɛ lɛ,gbi ni nyiɛ wɔsɛɛ lɛ,gbii enyɔ,gbii enyɔ dani amrɔ nɛɛ,gbii enyɔ sɛɛ amrɔ nɛɛ,gbii ejwɛ,gbii ejwɛ dani amrɔ nɛɛ,gbii ejwɛ kɛjɛ bianɛ,gbii etɛ,gbii etɛ dani amrɔ nɛɛ,gbii etɛ kɛjɛ bianɛ,1,1,1,0.5,0,NA,47,-72,NA,NA,Eastern Canada,NA,NA,Cf5,French Canadians,queb1247,Québécois,Eastern Canada,0-5%,0-5%,6-15%,16-25%,66-75%,1930,,,1926,50000+,1930,,,,,,,,,,,
Cebuano,kagahapon,karong adlawa,ugma,ang adlaw,sa miaging adlaw,pagka ugma,duha ka adlaw,duha ka adlaw sa wala pa karon,duha ka adlaw human karon,upat ka adlaw,upat ka adlaw sa wala pa karon,upat ka adlaw gikan karon,tulo ka adlaw,tulo ka adlaw sa wala pa karon,tulo ka adlaw gikan karon,1,1,1,0,0.5,Papunesia,10,124,cebu1242,ceb,Austronesian,Greater Central Philippine,PH,Ia12,Sugbuanon,cebu1242,Cebuano,Malesia,0-5%,0-5%,16-25%,6-15%,66-75%,1950,,2225000,1950,50000,,,,,,,,,,,,
Crimean Tatar,тюневин,бугунь,ярын,кунь .,тюневин эвельки кунь?,ярындан сонъки кунь,эки кунь .,энди эки кунь эвель,энди эки куньден сонъ,дёрт кунь .,энди дёрт кунь эвель,дёрт куньден сонъ .,учь кунь .,шимдиден учь кунь эвель,учь куньден сонъ .,1,1,1,0,0.5,Eurasia,45,34.08333333,crim1257,crh,Altaic,Turkic,UZ,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Chamorro,nigap,pagu,agupa,i ha'åni,i ha'åni antes di på'go,i sigiente diha,dos dihas,dos dihas antes di på'go,dos dihas despues di på'go,kuatro dihas,kuatro dihas antes di på'go,kuatro dihas desde på'go,tres dihas,tres dihas antes di på'go,tres dihas desde på'go,1,1,1,0,0,Papunesia,13.45,144.75,cham1312,cha,Austronesian,Chamorro,,If8,Chamorro,cham1312,Chamorro,Northwestern Pacific,0-5%,0-5%,6-15%,16-25%,66-75%,1950,,3850,1950,400-1000,,,,,,,,,,,,
Chechen,селхана,тахана,кхана,де,селхана хьалхара де;,кхана тӀаьхьара де,ши де;,хӀинца ши де хьалха,хӀинца ши де даьлча;,диъ де;,диъ де хьалха,диъ де даьлча;,кхаа дийнахь;,хӀинца кхо де хьалха,3 де даьлча;,1,1,1,0,0.5,Eurasia,43.25,45.83333333,chec1245,che,Northeast Caucasian,Nakh,RU,Ci7,Chechen,chec1245,Chechen,Caucasus,0-5%,0-5%,0-5%,46-55%,46-55%,1900,,400000,1939,,,,,,,,,,,,,
Chichewa,dzulo,lero,mawa,tsiku,dzulo lake,mawa lake,masiku awiri,masiku awiri zisanachitike,patatha masiku awiri,masiku anayi,masiku anayi zisanachitike,masiku anayi kuchokera pano,masiku atatu,masiku atatu kale,masiku atatu kuchokera pano,1,1,1,0,0,Africa,-14,34,nyan1308,nya,Niger-Congo,Bantu,MZ MW ZM ZW,,Chewa,chew1246,Chewa,South Tropical Africa,6-15%,16-25%,6-15%,6-15%,46-55%,1920,,"	750000",1955,100-199,,,,,,,,,,,,
Kiga,nyomwebazo,eirizoba,nyentsyankare,eizooba,eizooba erya nyomwabazyo,eizooba rya nyenkyakare,ebiro bibiri,ebiro bibiri hati bitakahikire,bwanyima y'ebiro bibiri hati,ebiro bina,ebiro bina hati bitakahikire,ebiro bina kuruga hati,ebiro bishatu,ebiro bishatu bitakahikire hati,ebiro bishatu kuruga hati,1,1,1,0.5,0,Africa,-0.916666667,29.83333333,chig1238,cgg,Niger-Congo,Bantu,UG,Ad13,Kiga,chig1238,Chiga,West-Central Tropical Africa,0-5%,16-25%,0-5%,16-25%,56-65%,1930,,100000,1940,,,,,,,,,,,,,
Chuukese,naneu,ikenai,nesor,ewe ran .,ewe ran me mwen ikenai(今天) .,ewe ran mwirin lesor .,ruu ran,ruu ran me mwen iei .,ruu ran mwirin iei .,fomon ran .,fomon ran me mwen iei .,fomon ran seni iei .,ülüngät rän,ülüngät rän me mwen iei .,ülüngät rän seni iei .,1,1,1,0,0.5,Papunesia,7.333333333,151.75,chuu1238,chk,Austronesian,Oceanic,FM,If2,Trukese,chuu1238,Chuukese,Northwestern Pacific,0-5%,0-5%,46-55%,0-5%,46-55%,1940,,10000,1947,100-199,,,,,,,,,,,,
Chuvash,ӗнер,паян,ыран,кун,ӗнерхи кун,ыранхи кун,икӗ кун,халӗ икӗ кун маларах,икӗ кунтан,тӑватӑ кун,тӑватӑ кун маларах,тепӗр тӑватӑ кунтан,виҫӗ кун,халӗ виҫӗ кун маларах,тепӗр виҫӗ кунтан,1,1,1,0.5,0.5,Eurasia,55.5,47.5,chuv1255,chv,Altaic,Turkic,RU,ch14,Chuvash,chuv1255,Chuvash,Eastern Europe,0-5%,0-5%,0-5%,6-15%,86-100%,1908,,845000,1897,200-399,,,,,,,,,,,,
Corsican,eri,oghje,dumane,u ghjornu,l'avantieri,dopu dumani,dui ghjorni,dui ghjorni nanzu avà,dui ghjorni dopu avà,quattru ghjorni,quattru ghjorni nanzu avà,quattru ghjorni da avà,trè ghjorni,trè ghjorni nanzu avà,da quì à trè ghjorni,1,1,1,0,0,Papunesia,-10.81,122.66,dhao1237,nfa,Austronesian,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Dari,دیروز,امروز,فردا,روز,روز قبل از دیروز,روز بعد از فردا,دو روز,دو روز قبل از حالا,دو روز بعد حالا,چهار روز,چهار روز قبل از حالا,چهار روز بعد,سه روز,سه روز قبل از حالا,سه روز بعد,1,1,1,0.5,0.5,Eurasia,35,66,dari1249,prs,Indo-European,Iranian,AF,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Dhivehi,iyye,miadhu,maadhamaa,edhuvaheve,iyyege kuree dhuvahu eve,maadhamaage fahu dhuvahu eve,dhedhuvaheve,meege dhedhuvas kurinneve,mihaaru dhedhuvas fahunneve,hatharu dhuvaheve,meege hatharu dhuvas kurinneve,meege hatharu dhuvas fahunneve,thin dhuvaheve,meege thin dhuvas kurinneve,meege thin dhuvas fahunneve,1,1,1,0.5,0,Eurasia,4.166666667,73.5,dhiv1236,div,Indo-European,Indic,MV,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Dinka,wäär,akölë,në ruun de,Aköl,Aköl tueŋ wäär,miäkduur,nïn karou,nïn kaarou tueŋ,nïn kaarou cï tëëk,nïn kaŋuan,nïn kaŋuan tueŋ,nïn kaŋuan ëmɛn,nïn kadiäk,nïn kadiäk tueŋ,nïn kadiäk ëmɛn,1,1,1,0.5,0,Africa,8.5,28,dink1262,din,Nilo-Saharan,Western Nilotic,SS,Aj11,Dinka,sout2832,Southwestern Dinka,Northeast Tropical Africa,0-5%,6-15%,6-15%,46-55%,26-35%,1900,,500000,,1952,,,,,,,,,,,,
Dyula,kunu,bi,sini,tile,kunu ka kɔn loon ɲɛ,sini dugusagwɛ,tile fila,tile fila ka kɔn sisan ɲɛ,tile fila o kɔ sisan,tile naani,tile naani ka kɔn sisan ɲɛ,tile naani ka bɔ sisan,tile saba,tile saba ka kɔn sisan ɲɛ,tile saba ka bɔ sisan,1,1,1,0.5,0,Africa,9.833333333,-4.666666667,dyul1238,dyu,Niger-Congo,Western Mande,BF ML CI,Ag27,Diula,dyul1238,Dyula,West Tropical Africa,6-15%,6-15%,0-5%,6-15%,66-75%,1910,,160000,1950,,,,,,,,,,,,,
Dogri,पिछले रोज,अज्ज,औंदे कल,दिन दा,कल दे इक दिन पैह्ले,कल दे अगले दिन,दो दिन,दो दिन पहले हुन,दो दिन बाद हुन,चार दिन,चार दिन पैह्लें गै,चार दिन बाद,तीन दिन,त्रै दिन पैह्लें गै,त्रै दिन बाद,1,1,1,0.5,0.5,Eurasia,33,75,dogr1250,dgo,Indo-European,Indic,IN,Na15,Tlicho,dogr1252,Dogrib,Subarctic,16-25%,26-35%,46-55%,0-5%,0-5%,1860,,900,,1959,,,,,,,,,,,,
Dzongkha,ཁ༌ཙ༌,ད་རེས་,ནངས་པ་,ཉིནམ།,ཁ་ཙ་གི་ཧེ་མ།,ནངས་པའི་ཉིནམ་ལུ།,ཞག་གཉིས།,ད་ལྟོའི་ཉིནམ་གཉིས་ཀྱི་སྔོན་ལུ།,ད་ལས་ཕར་ཉིནམ་གཉིས་ཀྱི་ཤུལ་ལུ།,ཞག་བཞི།,ད་ལྟོའི་ཉིནམ་བཞིའི་སྔོན་ལུ།,ད་ལས་ཕར་ ཉིནམ་བཞི།,ཞག་གསུམ།,ད་ལྟོའི་ཉིནམ་གསུམ།,ད་ལས་ཕར་ ཞག་གསུམ་ལུ།,1,1,1,0,0,Eurasia,27.41,89.58,,dzo,Sino-Tibetan,,,,,nucl1307,,,None,,,,,,,,,,,,,,,,,,,,,
Ewe,tsᴐ si va yi,egbe,tsɔ si gbɔna,ŋkekea dzi,ŋkeke si do ŋgɔ na etsɔ,le etsɔ si kplɔe ɖo dzi,ŋkeke eve,ŋkeke eve do ŋgɔ na fifia,ŋkeke eve le fifia megbe,ŋkeke ene,ŋkeke ene do ŋgɔ na fifia,ŋkeke ene tso fifia,ŋkeke etɔ̃,ŋkeke etɔ̃ do ŋgɔ na fifia,ŋkeke etɔ̃ tso fifia,1,1,1,0.5,0,Africa,6.333333333,0.416666667,ewee1241,ewe,Niger-Congo,Gbe,TG GH,Ewe,aguu1242,Agu (Ewe),Atlantic-Congo,,0-5%,6-15%,16-25%,6-15%,56-65%,1900,,700000,,1948,,,,,,,,,,,,
Estonian,eile,täna,homme,päeval,üleeile,ülehomme,kaks päeva,kaks päeva varem,kaks päeva hiljem,neli päeva,neli päeva varem,nelja päeva pärast,kolm päeva,kolm päeva varem,kolme päeva pärast,1,1,1,1,1,Eurasia,59,26,esto1258,ekk,Uralic,Finnic,EE,ch16,Estonians,esto1258,Estonian,Eastern Europe,0-5%,0-5%,6-15%,26-35%,56-65%,1908,,"	350000 ",1897,50000,,,,,,,,,,,,
Faroese,í gjár,í dag,í morgin,dagurin,dagin fyri í gjár,ovurmorgin,tveir dagar,tveir dagar áðrenn nú,tveir dagar eftir nú,fýra dagar,fýra dagar áðrenn nú,um fýra dagar,tríggjar dagar,tríggjar dagar áðrenn nú,um tríggjar dagar,1,1,1,0.5,1,Eurasia,62,-7,faro1244,fao,Indo-European,Germanic,DK,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Frisian,juster,hjoed,moarn,de dei,foar juster,oermoarn,twa dagen,twa dagen earder,twa dagen letter,fjouwer dagen,fjouwer dagen earder,fjouwer dagen fan no,trije dagen,trije dagen earder,trije dagen fan no,1,1,0.25,0,1,Eurasia,53,5,west2354,fry,Indo-European,Germanic,NL DE,,,fris1239,,,None,,,,,,,,,,,,,,,,,,,,,
Friulian,îr,vuê,doman,la dì,la dì prime di ieri,la dì dopo doman,doi dîs,doi dîs prin di cumò,doi dîs dopo cumò,cuatri dîs,cuatri dîs prin di cumò,di cumò indenant cuatri dîs,trê dîs,trê dîs prin di cumò,di trê dîs di cumò,1,1,1,0.5,0.5,,46.1473,13.0493,friu1240,,Indo-European,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Filipino,kahapon,ngayon,bukas,ang araw,noong nakaraang araw,kinabukasan,dalawang araw,dalawang araw bago ngayon,dalawang araw pagkatapos ngayon,apat na araw,apat na araw bago ngayon,apat na araw mula ngayon,tatlong araw,tatlong araw bago ngayon,tatlong araw mula ngayon,1,1,1,0,0,Papunesia,12.27,123.46,fili1244,fil,Austronesian,,,,,fili1244,,,None,,,,,,,,,,,,,,,,,,,,,
Fijian,na siga e liu,nikua,mataka,na siga .,na siga ni bera nanoa,na siga ni mataka,rua na siga,rua na siga ni bera oqo,rua na siga ni oti oqo,va na siga,va na siga ni bera oqo,Va na siga mai oqo,tolu na siga,tolu na siga ni bera oqo,tolu na siga mai oqo,0.5,1,1,0.5,0,Papunesia,-17.83333333,178,fiji1243,fij,Austronesian,Oceanic,FJ,Ih14,Mbau Fijians,bauu1243,Bau (Fijian),Southwestern Pacific,6-15%,0-5%,46-55%,0-5%,36-45%,1840,"Bau Chiefdom, Vanua Levu",,,1000-5000,,,,,,,,,,,,
Finnish,eilen,tänään,huomenna,päivä,toissapäivänä,ylihuomenna,kaksi päivää,kaksi päivää sitten,kahden päivän kuluttua nyt,neljä päivää,neljä päivää sitten,neljän päivän päästä,kolme päivää,kolme päivää sitten,kolmen päivän päästä,1,1,1,1,1,Eurasia,62,25,finn1318,fin,Uralic,Finnic,FI,,,,,,None,,,,,,,,,,,,,,,,,,,,,
Fongbe,sɔ́,égbé,sɔ,azǎn ɔ,azǎn e jɛ nukɔn nú sɔ̀ é,sɔ e bɔ d'ewu e,azǎn we,azǎn wè jɛ nukɔn nú dìn,azǎn wè gudo dìn,azǎn ɛnɛ,azǎn ɛnɛ jɛ nukɔn nú dìn,azǎn ɛnɛ ɖíe,azǎn atɔn,azǎn atɔn jɛ nukɔn nú dìn,azǎn atɔn ɖíe,0.25,1,0.25,0.5,0,Africa,6.416666667,2.166666667,fonn1241,fon,Niger-Congo,Gbe,BJ,Af1,Fon,fonn1241,Fon,West Tropical Africa,0-5%,16-25%,6-15%,16-25%,46-55%,1890,City and environs of Abomey,25000,,5000-50000,,,,,,,,,,,,
Fula,kenya,hande,jango,ñalawma oo,ñalnde ko adii hanki,ñalawma caggal janngo,balɗe ɗiɗi,balɗe ɗiɗi ko adii jooni,balɗe ɗiɗi caggal jooni,balɗe nay,balɗe nay ko adii jooni,balɗe nay jooni,balɗe tati,balɗe tati ko adii jooni,balɗe tati caggal jooni,1,1,1,0.5,0.5,Africa,15,-14,pula1263,fuc,Niger-Congo,Peul-Serer,SN,Cb23,Tukulor,pula1263,Pulaar,West Tropical Africa,0-5%,0-5%,6-15%,36-45%,46-55%,1930,,275000,1950,,,,,,,,,,,,,
