language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_after_tomorrow,value_day_before_yesterday,time_window,time_window_all,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,society_ID,society,Glottocode_society,society_language,Region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family
Bhojpuri,काल्हु के भइल (It happened yesterday),आजु,काल्हु,दिन के बा,काल्हु से एक दिन पहिले के बात बा (It was the day before yesterday),काल्ह के बाद के दिन,दू दिन के बा,अब से दू दिन पहिले के बा,अब से दू दिन बाद,चार दिन के बा,अब से चार दिन पहिले के बा,अब से चार दिन बाद,तीन दिन के बा,अब से तीन दिन पहिले के बा,अब से तीन दिन बाद,0,1,1,0,0.5,0.5,2.5,Eurasia,26,84,bhoj1244,bho,Indo-European,None,Indic,IN,Ef11,Uttar Pradesh,bhoj1244,Bhojpuri,Indian Subcontinent,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1945,NA,1400,1941,50000,Indo-European
Burmese,မနေ့က,ဒီနေ့,မနက်ဖြန်,နေ့ရက်,မနေ့ က,သဘက်ခါ,နှစ်ရက်,အရင်နှစ်ရက်က,အခုနောက်နှစ်ရက်,လေးရက်,အခု လေးရက်လောက်က,ယခုမှလေးရက်,သုံးရက်,အရင်သုံးရက်လောက်က,အခုမှ သုံးရက်,1,1,1,1,1,2,5,Eurasia,21,96,nucl1310,mya,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,MM,Ei3,Burmese,nucl1310,Burmese,Indo-China,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1950,NA,NA,NA,50000,Sino-Tibetan
Javanese,wingi,dina iki,sesuk,dina,dina sadurunge wingi,sesuk,rong dina,rong dina sadurunge saiki,rong dina sawise saiki,patang dina,patang dina sadurunge saiki,patang dina wiwit saiki,telung dina,telung dina sadurunge saiki,telung dina wiwit saiki,1,1,1,0.5,0,0.5,3.5,Papunesia,-7,111,java1254,jav,Austronesian,NA,Javanese,ID,Ib2,Javanese,java1254,Javanese,Malesia,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1950,NA,24000,1952,5000-50000,Austronesian
Maithili,काल्हि,आइ,काल्हि,दिन,काल्हिसँ एक दिन पहिने,काल्हिक दोसर दिन,दू दिन,दू दिन पहिने आब,आब दू दिनक बाद,चारि दिन,चारि दिन पहिने आब,चारि दिन बाद,तीन दिन,आब तीन दिन पहिने,तीन दिन बाद,0.25,1,0.25,0.5,0,0.5,2,Eurasia,26,86,mait1250,mai,Indo-European,None,Indic,IN NP,Ef10,Bihari,mait1250,Maithili,Indian Subcontinent,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1880,Ganges River Valley,NA,NA,NA,Indo-European
Panjabi (Gurmukhi),ਕੱਲ੍ਹ,ਅੱਜ,ਕੱਲ੍ਹ,ਦਿਨ,ਕੱਲ੍ਹ ਤੋਂ ਇੱਕ ਦਿਨ ਪਹਿਲਾਂ,ਪਰਸੋਂ,ਦੋ ਦਿਨ,ਹੁਣ ਤੋਂ ਦੋ ਦਿਨ ਪਹਿਲਾਂ,ਹੁਣ ਦੋ ਦਿਨ ਬਾਅਦ,ਚਾਰ ਦਿਨ,ਹੁਣ ਤੋਂ ਚਾਰ ਦਿਨ ਪਹਿਲਾਂ,ਹੁਣ ਤੋਂ ਚਾਰ ਦਿਨ,ਤਿੰਨ ਦਿਨ,ਹੁਣ ਤੋਂ ਤਿੰਨ ਦਿਨ ਪਹਿਲਾਂ,ਹੁਣ ਤੋਂ ਤਿੰਨ ਦਿਨ,0.25,1,0.25,0.5,0,0.5,2,Eurasia,31,74,panj1256,pan,Indo-European,NA,Indic,PK IN,Ea13,Punjabi,west2386,Western Panjabi,Indian Subcontinent,-1.377167513,-0.724654495,0.480356215,0.025,0.025,0.025,0.205,0.805,1950,Mohla Village,300,1950,50000,Indo-European
Greenlandic,ippassaq,ullumi,aqangu,ulloq,ulloq sioqqullugu ippassaq,ulloq kingulleq,ullut marluk,ullut marluk sioqqullugit,ullut marluk qaangiuppata,ullut sisamat,ullut sisamat sioqqullugit,ullut sisamat qaangiuppata,ullut pingasut,ullut pingasut sioqqullugit,ullut pingasut qaangiuppata,1,1,1,0.5,0,0.5,3.5,Eurasia,64,-51,kala1399,kal,Eskimo-Aleut,NA,Eskimo,GL,Na25,Kalaallit (West Greenland),kala1399,Kalaallisut,Subarctic America,4.242572899,-0.705226871,-3.039090285,0.105,0.205,0.705,0.025,0.025,1910,with special reference to the inhabitants of the Egesminde District,1600,1918,NA,Eskimo-Aleut
Timucua,qibo,equela,buecha,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,3,North America,30.25,-82.5,timu1245,tjm,Timucua,NA,Timucua,US,Ng8,Timucua,timu1245,Timucua,Southeastern U.S.A.,2.224085111,-0.68149045,0.691471017,0.205,0.205,0.205,0.025,0.405,1560,NA,NA,NA,NA,Isolates
Gujarati,ગઈકાલે,આજે,આવતીકાલે,દિવસ,ગઈકાલના આગલા દિવસે,કાલ પછીનો દિવસ,બે દિવસ,આજથી બે દિવસ પહેલા,હવે બે દિવસ પછી,ચાર દિવસ,આજથી ચાર દિવસ પહેલા,હવેથી ચાર દિવસ,ત્રણ દિવસ,આજથી ત્રણ દિવસ પહેલા,હવેથી ત્રણ દિવસ,1,1,1,0.5,0.5,1,4,Eurasia,23,72,guja1252,guj,Indo-European,None,Indic,IN,Ef9,Gujarati,guja1252,Gujarati,Indian Subcontinent,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1920,NA,NA,NA,50000,Indo-European
Latvian,vakar,šodien,rīt,diena,aizvakar,parīt pēc rītdienas,divas dienas,divas dienas iepriekš,divas dienas pēc šī brīža,četras dienas,pirms četrām dienām,četras dienas no šī brīža,trīs dienas,trīs dienas iepriekš,trīs dienas no šī brīža,1,1,1,1,0.5,1.5,4.5,Eurasia,57,24,latv1249,lav,Indo-European,None,Baltic,LV,NA,Latvians,latv1249,Latvian,Eastern Europe,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1881,NA,1312000,1897,50000,Indo-European
Mandarin,昨天,今天,明天,今天,前天,后天,两天,前两天,后两天,四天,前四天,四天后,三天,前三天,后三天,1,1,1,1,1,2,5,Eurasia,34,110,mand1415,cmn,Sino-Tibetan,NA,Chinese,CN,NA,Shantung,mand1415,Mandarin Chinese,China,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1930,NA,NA,NA,50000,Sino-Tibetan
Batak Toba,natuari,ari on,sogot,ari i,sadari andorang so nantoari,ari haduan,dua ari,dua ari andorang so saonari .,dua ari dungkon on .,opat ari .,opat ari andorang so saonari .,opat ari nai .,tolu ari .,tolu ari andorang so nuaeng .,tolu ari nai .,1,1,1,0.5,0,0.5,3.5,Papunesia,2.5,99,bata1289,bbc,Austronesian,NA,Northwest Sumatra-Barrier Islands,ID,NA,Toba Batak,bata1289,Batak Toba,Malesia,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1930,NA,1000000,1959,NA,Austronesian
Canadian,nyɛ,ŋmene,wɔ́,gbi lɛ nɔ,gbi ni tsɔ nyɛ hiɛ lɛ,gbi ni nyiɛ wɔsɛɛ lɛ,gbii enyɔ,gbii enyɔ dani amrɔ nɛɛ,gbii enyɔ sɛɛ amrɔ nɛɛ,gbii ejwɛ,gbii ejwɛ dani amrɔ nɛɛ,gbii ejwɛ kɛjɛ bianɛ,gbii etɛ,gbii etɛ dani amrɔ nɛɛ,gbii etɛ kɛjɛ bianɛ,1,1,1,0.5,0,0.5,3.5,NA,47,-72,NA,NA,Indo-European,NA,NA,NA,Cf5,French Canadians,queb1247,Québécois,Eastern Canada,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1930,NA,NA,1926,50000,Indo-European
Chamorro,nigap,pagu,agupa,i ha'åni,i ha'åni antes di på'go,i sigiente diha,dos dihas,dos dihas antes di på'go,dos dihas despues di på'go,kuatro dihas,kuatro dihas antes di på'go,kuatro dihas desde på'go,tres dihas,tres dihas antes di på'go,tres dihas desde på'go,1,1,1,0,0,0,3,Papunesia,13.45,144.75,cham1312,cha,Austronesian,NA,Chamorro,NA,If8,Chamorro,cham1312,Chamorro,Northwestern Pacific,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1950,NA,3850,1950,400-1000,Austronesian
Hungarian,tegnap,ma,holnap,a nap,tegnapelőtt,holnapután,két nap,két nappal azelőtt,két nap múlva,négy nap,négy nappal azelőtt,négy nap múlva,három nap,három nappal azelőtt,három nap múlva,1,1,1,1,1,2,5,Eurasia,47,20,hung1274,hun,Uralic,Finno-Ugric,Ugric,HU,Ch8,Magyar,hung1274,Hungarian,Middle Europe,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1940,NA,9400000,1950,50000,Uralic
Latgale,vakardīne,šudiņ,reit,dīna .,dīna pyrms vakardīnys .,dīna piec reitdīnys .,divejis dīnys .,divejis dīnys pyrms niu .,divejis dīnys piec niu .,četrys dīnys .,četrys dīnys pyrms niu .,nu ituo četrys dīnys .,treis dīnys .,treis dīnys pyrms niu .,piec treis dīnys .,1,1,1,0.5,0.5,1,4,Eurasia,57,24,latv1249,lav,Indo-European,NA,Baltic,LV,ch21,Latvians,latv1249,Latvian,Eastern Europe,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1881,NA,1312000,1897,50000,Indo-European
Manchu,uʃ udur‧,ən udur‧,bunj udur‧,,kʰətʃʰiɡ udur‧,tʃʰɑdʒ udur‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,1,2.5,Eurasia,49.5,127.5,manc1252,mnc,Altaic,NA,Tungusic,NA,Ed3,Manchu,manc1252,Manchu,China,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1920,NA,NA,1919,Missing data,Altaic
Min (Southern),tsoʔ31.lit35‧,kin22.lit35‧,biã22.tsa13‧,,tsok31.it35,Ǿau31.lit0‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,5,Eurasia,25,118,minn1241,nan,Sino-Tibetan,NA,Chinese,NA,Ed6,Min Chinese,chao1239,Chaoshan,China,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1920,NA,600,1954,50000,Sino-Tibetan
Bai,tseɹ21seɹ44ȵi44‧,keɹ55ȵi44‧,meɹ55ȵi44‧,,tɯ21ȵi44‧,a31tsɿ42ȵi44‧,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,1,1,0.5,1.5,4,Eurasia,26,100,cent2004,bca,Sino-Tibetan,Tibeto-Burman,Macro-Bai,NA,Ed8,Minchia,cent2004,Central Bai,China,-0.893623531,-0.629283328,-0.056789657,0.025,0.025,0.105,0.205,0.705,1930,NA,400000,None,400-1000,Sino-Tibetan
Seneca,te:dë’,në:gë:h wë:níshäde’,ëyo:hë’t,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,1,0,0,0,3.5,North America,42.5,-77.5,sene1264,see,Iroquoian,NA,Northern Iroquoian,US,Ng10,Seneca,sene1264,Seneca,Northeastern U.S.A.,2.317020312,-0.61884493,0.310362072,0.105,0.305,0.205,0.025,0.405,1750,10000,NA,NA,NA,Iroquoian
Bengali,গতকাল,আজ,আগামীকাল,দিন,গতকালের আগের দিন,পরশু,দুই দিন,এখন থেকে দুই দিন আগে,এখন দুই দিন পর,চার দিন,এখন থেকে চার দিন আগে,এখন থেকে চার দিন,তিন দিন,এখন থেকে তিন দিন আগে,এখন থেকে তিন দিন,1,1,1,0.5,1,1.5,4.5,Eurasia,24,90,beng1280,ben,Indo-European,None,Indic,BD IN,Ef2,Bengali,beng1280,Bengali,Indian Subcontinent,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,1940,NA,NA,NA,50000,Indo-European
Iban,kemari,saritu,pagila,hari nya,sehari sebedau kemari,hari udah pagila,dua hari,dua hari sebedau diatu .,dua ari udah diatu .,empat hari,empat hari sebedau diatu .,empat ari ari diatu,tiga ari,tiga hari sebedau diatu .,tiga ari ari diatu,1,1,1,0.5,0,0.5,3.5,Papunesia,2,112,iban1264,iba,Austronesian,None,Malayo-Sumbawan,MY,Ib1,Iban,iban1264,Iban,Malesia,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,1950,NA,11500,1949,NA,Austronesian
Korean,어제,오늘,내일,그날,그저께,모레,이틀,이틀 전,이틀 후,4일,4일 전,4일 후,3일,3일 전,3일 후,1,1,1,1,1,2,5,Eurasia,37.5,128,kore1280,kor,Korean,NA,Korean,KR KP,Ed1,Koreans,kore1280,Korean,Eastern Asia,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,NA,NA,200,1947,50000,Uralic
Latin,heri,hodie,cras,dies,Pridie hesterno die,perendie,duobus diebus,duobus diebus ante nunc,duobus diebus post nunc,quatriduanus,nudiustertius,quatriduanus amodo,triduum,tribus diebus ante nunc,nunc tribus diebus,1,1,1,0.5,0,0.5,3.5,NA,41.9,12.45,lati1261,NA,Indo-European,NA,NA,NA,Ce3,Ancient Romans,lati1261,Latin,Southeastern Europe,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,NA,NA,NA,NA,50000,Indo-European
Makassar,subangngi,anne alloa,ammuko,alloa,allo rioloa,ammuko,rua allo,rua allo riolo kamma kammayya anne,rua allo ribokoangna kamma kammayya anne,appa allo,appa allo riolo kamma kammayya anne,appa allo battu ri kamma kammayya anne,tallung allo,tallung allo riolo kamma kammayya anne,tallung allo battu ri kamma-kammaya anne,1,1,1,0,0,0,3,Papunesia,-5.416666667,119.5833333,maka1311,mak,Austronesian,None,South Sulawesi,ID,Ic1,Macassarese,maka1311,Makasar,Malesia,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,1940,Borongloe,NA,NA,NA,Austronesian
Tamil,நேற்று,இன்று,நாளை,நாள்,நேற்று முன் தினம்,நாளை மறுநாள்,இரண்டு நாட்கள்,இப்போது இரண்டு நாட்களுக்கு முன்பு,இப்போது இரண்டு நாட்களுக்குப் பிறகு,நான்கு நாட்கள்,இப்போது நான்கு நாட்களுக்கு முன்பு,இன்றிலிருந்து நான்கு நாட்கள்,மூன்று நாட்கள்,இப்போது மூன்று நாட்களுக்கு முன்பு,இப்போதிலிருந்து மூன்று நாட்கள்,1,1,1,0.5,0,0.5,3.5,Eurasia,11,78.5,tami1289,tam,Dravidian,None,Dravidian,IN LK,NA,Tamil,tami1289,Tamil,Indian Subcontinent,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,1880,NA,3000000,NA,50000,Dravidian
Vietnamese,hôm qua,hôm nay,ngày mai,ngày,ngày hôm kia,ngày mốt,hai ngày,hai ngày trước đây,hai ngày sau đây,bốn ngày,bốn ngày trước đây,bốn ngày kể từ bây giờ,ba ngày,ba ngày trước đây,ba ngày kể từ bây giờ,1,1,1,0.5,0.5,1,4,Eurasia,10.5,106.5,viet1252,vie,Austro-Asiatic,Mon-Khmer,Vietic,0,Ej4,Annamese,viet1252,Vietnamese,Indo-China,-0.343869779,-0.570020608,-0.706077005,0.025,0.025,0.205,0.205,0.605,1950,Red River Delta in Tonkin,22000000,NA,50000,Austroasiatic
Quileute, chi/ tq5wi7,chi/ p35,x2 tq5wi7,,chi/ tq5wi7,kitoktiya,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,4,North America,47.91666667,-124.25,quil1240,qui,Chimakuan,NA,Chimakuan,US,Nb18,Quileute,quil1240,Quileute,Northwestern U.S.A.,4.472294338,-0.429755038,-2.269071329,0.105,0.305,0.605,0.025,0.025,1880,285,NA,NA,NA,Chimakuan
Mizo,nimin,vawiin,naktuk,ni khat chu,nimin hma ni khan,naktuk hnu ni,ni hnih chhung a ni,tun hma ni hnih a awm tawh,tun atanga ni hnih hnuah,ni li chhung a ni,tun hma ni li,tun atanga ni li hnuah,ni thum chhung a ni,tun hma ni thum a awm tawh,tun atanga ni thum hnuah,1,1,1,0.5,0.5,1,4,Eurasia,23.16666667,92.83333333,lush1249,lus,Sino-Tibetan,Tibeto-Burman,Kuki-Chin,BD IN,Ei20,Kuki,lush1249,Mizo,Indian Subcontinent,-0.70984638,-0.408905862,0.559225508,0.025,0.105,0.025,0.205,0.705,1940,NA,NA,NA,None,Sino-Tibetan
Quechua,qayna punchaw,kunan,paqarin,p’unchaw,qayna punchaw ñawpaq punchaw,paqarin punchawmanta qipa punchaw,iskay punchaw,iskay punchaw ñawpaqtaraq,kunanmanta iskay punchawmanta,tawa punchaw,tawa punchaw ñawpaqtaraq,tawa punchawmanta,kimsa punchaw,kimsa punchaw ñawpaqtaraqmi,kimsa punchawmanta,1,1,1,0,0.5,0.5,3.5,South America,-8.5,-77.5,chiq1249,qxa,Quechuan,NA,Quechuan,PE,Sf1,Inca,cusc1236,Cusco Quechua,Western South America,-0.70984638,-0.408905862,0.559225508,0.025,0.105,0.025,0.205,0.705,1530,NA,1500000,1571,5000-50000,Quechuan
Chichewa,dzulo,lero,mawa,tsiku,dzulo lake,mawa lake,masiku awiri,masiku awiri zisanachitike,patatha masiku awiri,masiku anayi,masiku anayi zisanachitike,masiku anayi kuchokera pano,masiku atatu,masiku atatu kale,masiku atatu kuchokera pano,1,1,1,0,0,0,3,Africa,-14,34,nyan1308,nya,Niger-Congo,Benue-Congo,Bantu,MZ MW ZM ZW,NA,Chewa,chew1246,Chewa,South Tropical Africa,1.082471646,-0.408564196,0.690253319,0.105,0.205,0.105,0.105,0.505,1920,NA,750000,1955,100-199,Niger-Congo
Tiv,nyen,nyian,Kpee,iyange la .,iyange i nyian,iyange i kper la,ayange ahar,ayange ahar cii man shighe ne ye .,ayange nga kar ahar yô,ayange anyiin .,ayange anyiin cii man shighe ne ye .,ayange anyiin ken hemen .,ayange atar .,ayange atar cii man shighe ne ye .,ayange atar ken hemen .,1,0.25,0.25,0.5,0,0.5,2,Africa,7.5,9,tivv1240,tiv,Niger-Congo,Benue-Congo,Tivoid,NG,Ah3,Tiv,tivv1240,Tiv,West Tropical Africa,1.082471646,-0.408564196,0.690253319,0.105,0.205,0.105,0.105,0.505,NA,NA,530000,NA,200-399,Niger-Congo
Kanuri,biska,ku,bali,yimdǝ,yim kawu biskayedə,yim ngawo balibe,kawu indi,kawu indi kawu kǝrma dǝro,ngawo kawu indiben,kawu diyau,kawu diyau kawu adǝro,kawu diyau fuwulan,kawu yakkǝ,kawu yakkǝ kawu adǝro,kawu yakkǝ fuwulan,1,1,1,0.5,0.5,1,4,Africa,12,13,cent2050,knc,Saharan,Saharan,Western Saharan,NG TD NE SD,Cb19,Kanuri,cent2050,Central Kanuri,West Tropical Africa,-0.300650559,-0.363651111,0.326966792,0.105,0.025,0.105,0.205,0.605,1870,NA,750000,1952,5000-50000,Nilo-Saharan
Karok,ipit ,ítam,imaan,,ipít múpitkam ,imáan múmaankam,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,0.5,1,4,North America,41.66666667,-123,karo1304,kyh,Hokan,NA,Karok,US,Nb34,Karuk,karo1304,Karuk,Northwestern U.S.A.,4.423210173,-0.342219765,-0.35572554,0.405,0.105,0.505,0.025,0.025,1860,600,NA,NA,NA,Hokan
Hupa,wiłdung,de:-je:nis,yisxun-de',,wiłdun'-dung',yisxun-yisxa:n,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,0.5,1,4,North America,41.08333333,-123.6666667,hupa1239,hup,Na-Dene,NA,Athapaskan,US,Nb35,Hupa,hupa1239,Hupa-Chilula,Southwestern U.S.A.,4.423210173,-0.342219765,-0.35572554,0.405,0.105,0.505,0.025,0.025,1860,640,NA,NA,NA,Athabaskan-Eyak-Tlingit
Luo,nyoro,kawuono,kiny,odiechieng',Odiechieng' motelo nyoro,Odiechieng' bang' kiny,ndalo ariyo,ndalo ariyo kapok sani,ndalo ariyo bang' sani,ndalo ang'wen,ndalo ang’wen kapok sani,ndalo ang'wen chakre sani,ndalo adek,ndalo adek kapok sani,ndalo adek chakre sani,1,1,1,0.5,0.5,1,4,Africa,-0.5,34.75,luok1236,luo,Eastern Sudanic,Nilotic,Western Nilotic,KE TZ,Aj6,Luo,luok1236,Luo (Kenya and Tanzania),East Tropical Africa,-0.226302398,-0.313534695,0.022079636,0.025,0.105,0.105,0.205,0.605,1940,NA,800000,1947,100-199,Nilo-Saharan
Miao,nag hmo,hnub no,tag kis,hnub,hnub ua ntej nag hmo,hnub tom qab tag kis,ob hnub,ob hnub ua ntej tam sim no,ob hnub tom qab tam sim no,plaub hnub,plaub hnub ua ntej tam sim no,plaub hnub txij tam sim no,peb hnub,peb hnub ua ntej tam sim no,peb hnub txij tam sim no,1,1,1,0.5,0.5,1,4,Eurasia,26,105,hmon1333,mww,Hmong-Mien,NA,Hmongic,CN VN,Ed4,Miao,horn1235,Horned Miao,China,-0.226302398,-0.313534695,0.022079636,0.025,0.105,0.105,0.205,0.605,1940,NA,2500000,1954,100-199,Sino-Tibetan
Susu,khoro,too,tina,lOxE,xoro singe,tina xanbi,xi firin,xi firin beenun ya,xi firin dangi xanbi,xi nani,xi nani beenun ya,xi naani bun ma,xi saxan,xi saxan beenun ya,xi saxan bun ma,1,1,1,0,0,0,3,Africa,10,-13,susu1250,sus,Mande,None,Western Mande,GN,NA,Susu,susu1250,Susu,West Tropical Africa,-0.226302398,-0.313534695,0.022079636,0.025,0.105,0.105,0.205,0.605,1930,NA,300000,1950,NA,Niger-Congo
Shawnee,oo-la-coo,Enoukee;nih-kees-qua,wap-pa-kie,,al-li-ka oo-la-coo,al-li-ka wap-pa-kie,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,0.5,1,4,North America,40,-83,shaw1249,sjw,Algic,NA,Algonquian,US,Nf13,Shawnee,shaw1249,Shawnee,Southeastern U.S.A.,3.096495503,-0.284110377,0.431093679,0.105,0.405,0.205,0.025,0.305,1820,1100,NA,NA,NA,Algic
Alur,ma nyaworu,tin,urwo,ceng,ceng ma ukadhu,ceng ma lubo urwo,nindu aryo,nindo aryo mapodi kawoni,nindo aryo ingey kawoni,nindu angwen,nindo angwen mapodi kawoni,nindo angwen nicaku kawoni,nindu adek,nindo adek mapodi kawoni,nindo adek nicaku kawoni,1,1,1,0,0,0,3,Africa,2.36,31,alur1250,alz,Nilo-Saharan,NA,Nilotic,NA,Aj17,Alur,alur1250,Alur,West-Central Tropical Africa,0.323451354,-0.254271974,-0.627207712,0.025,0.105,0.205,0.205,0.505,1890,NA,200000,NA,NA,Nilo-Saharan
Dogri,पिछले रोज,अज्ज,औंदे कल,दिन दा,कल दे इक दिन पैह्ले,कल दे अगले दिन,दो दिन,दो दिन पहले हुन,दो दिन बाद हुन,चार दिन,चार दिन पैह्लें गै,चार दिन बाद,तीन दिन,त्रै दिन पैह्लें गै,त्रै दिन बाद,1,1,1,0.5,0.5,1,4,Eurasia,33,75,dogr1250,dgo,Indo-European,NA,Indic,IN,Na15,Tlicho,dogr1252,Dogrib,Subarctic,4.609080576,-0.216928725,-1.117943429,0.205,0.305,0.505,0.025,0.025,1860,NA,900,NA,1959,Indo-European
Quinault,tiiɑlɑš,əɫnisyəx̣uč,iɑlɑš,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,3,North America,47.42,-124.16,quin1251,qun,Salishan,NA,NA,NA,Nb25,Quinault,quin1251,Quinault,Northwestern U.S.A.,4.609080576,-0.216928725,-1.117943429,0.205,0.305,0.505,0.025,0.025,1860,200,NA,NA,NA,Salishan
Nanai,ɕiksə,əiniŋ,thumakhə,,tsurkhə jiniŋ,thiɔrmi,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,1,1.5,4.5,Eurasia,49.5,137,nana1257,gld,Altaic,NA,Tungusic,NA,Ec9,Nanai,nana1257,Nanai,China,2.918235119,-0.161673698,-1.520633568,0.025,0.305,0.405,0.105,0.205,1920,NA,100,1940,Missing data,Altaic
Jingpho,mə55ni55‧,tai31ni55‧,pʰot55ni55‧,,mə55ni55aʔ31ɕoŋ33ɕə31ni55‧,pʰot55tin31ni55‧,,,,,,,,,,1,1,1,0,0.5,0.5,3.5,Eurasia,25.41666667,97,kach1280,kac,Sino-Tibetan,Tibeto-Burman,Brahmaputran,,Ei5,Kachin,kach1280,Southern Jinghpaw,Indo-China,-0.116873408,-0.143273645,0.942981956,0.105,0.105,0.025,0.205,0.605,1940,,300000,1901,100-199,Sino-Tibetan
