language_name,yesterday,today,tomorrow,the day,the day before yesterday,the day after tomorrow,two days,two days before now,two days after now,four days,four days before now,four days from now,three days,three days before now,three days from now,value_yesterday,value_today,value_tomorrow,value_day_after_tomorrow,value_day_before_yesterday,time_window,time_window_all,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Top_Family,Subfamily,Genus,Country_ID,society_ID,society,Glottocode_society,society_language,Region,PC1,PC2,PC3,Gathering,Hunting,Fishing,AnimalHusbandry,Agriculture,subsistence_year,...55,Population size [EA202],Population_year,Mean size of local communities [EA031],Family
Ndumbe(Ndombe?)Ndonga,ijilo,sunu,juunza,buzuba,buzuba bwakainda jilo,buzuba butobela,mazuba obile,mazuba obile kakutanaba lino,mazuba obile kuzwa lino,mazuba one,mazuba one kakutanaba lino,mazuba one kuzwa lino,mazuba otatwe,mazuba otatwe kakutanaba lino,mazuba otatwe kuzwa lino,1,1,1,0,0,0,3,Africa,-18,17,ndon1254,ndo,Niger-Congo,Benue-Congo,Bantu,AO NA,Ab19,Ambo,ndon1254,Ndonga,South Tropical Africa,-0.162628279,0.381861577,-0.141605991,0.025,0.105,0.105,0.305,0.505,1910,NA,60000,1948,NA,Niger-Congo
Tsonga,tolo,namuntlha,mundzuku,siku,siku ra le mahlweni ka tolo,siku leri landzelaka mundzuku,masiku mambirhi,masiku mambirhi emahlweni ka sweswi,masiku mambirhi endzhaku ka sweswi,masiku ya mune,masiku ya mune emahlweni ka sweswi,masiku ya mune ku sukela sweswi,masiku manharhu,masiku manharhu emahlweni ka sweswi,masiku manharhu ku sukela sweswi,1,1,1,0.5,0.5,1,4,Africa,-24,32,tson1249,tso,Niger-Congo,Benue-Congo,Bantu,MZ ZA,NA,Tsonga,tson1249,Tsonga,South Tropical Africa,-0.162628279,0.381861577,-0.141605991,0.025,0.105,0.105,0.305,0.505,1920,NA,None,NA,None,Niger-Congo
Tiwi,awurlaga,ningani,pangarri ,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,3,Australia,-11.5,131,tiwi1244,tiw,Tiwian,NA,Tiwian,AU,Id3,Tiwi,tiwi1244,Tiwi,Australia,5.019439289,0.421550213,2.335440271,0.505,0.305,0.205,0.025,0.025,1920,1000,NA,NA,NA,Isolates
Southern Sotho,maobane,kajeno,hosane,letsatsi,letsatsi pele ho maobane,hosane ka mora hosasane,matsatsi a mabeli,matsatsi a mabeli pele ho joale,matsatsi a mabeli hamorao,matsatsi a mane,matsatsi a mane pele ho jwale,matsatsi a mane ho tloha joale,matsatsi a mararo,matsatsi a mararo pele ho jwale,matsatsi a mararo ho tloha joale,1,1,1,0.5,0,0.5,3.5,Africa,-28,27,sout2807,sot,Niger-Congo,Benue-Congo,Bantu,LS ZA,Ab8,Sotho,sout2807,Southern Sotho,Southern Africa,-0.053199289,0.552122627,0.779296329,0.105,0.105,0.025,0.305,0.505,1860,Basuto,900000,1953,200-399,Niger-Congo
Xhosa,izolo,namhlanje,ngomso,Usuku,Usuku phambi kwelayizolo,ngapha kwangomso,iintsuku ezimbini,kwiintsuku ezimbini ngaphambili ngoku,emva kweentsuku ezimbini ngoku,iintsuku ezine,kwiintsuku ezine phambi koku,kwiintsuku ezine ukususela ngoku,iintsuku ezintathu,kwiintsuku ezintathu ngaphambili,kwiintsuku ezintathu ukususela ngoku,1,1,1,0.5,0.5,1,4,Africa,-32,27,xhos1239,xho,Niger-Congo,Benue-Congo,Bantu,ZA,Ab11,Xhosa Ngqika,xesi1238,Xesibe,Southern Africa,-0.053199289,0.552122627,0.779296329,0.105,0.105,0.025,0.305,0.505,1850,NA,NA,NA,Missing data,Niger-Congo
Serbian-Croatian,јуче,данас,сутра,дан,прекјуче,прекосутра,два дана,два дана раније,два дана касније,четири дана,четири дана раније,четири дана од сада,три дана,три дана раније,три дана од сада,1,1,1,1,1,2,5,Eurasia,44,19,sout1528,hbs,Indo-European,NA,Slavic,RS BA HR,NA,Serbs,serb1264,Serbian Standard,Southeastern Europe,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1950,NA,2200,1953,50000,Indo-European
Tatar,Кичә,Бүген,иртәгә,көн,кичә,иртәгәдән икенче көн,ике көн,ике көн элек,ике көннән соң,дүрт көн,дүрт көн элек,дүрт көн,өч көн,өч көн элек,өч көннән,1,1,1,0,0.5,0.5,3.5,Eurasia,56,49.5,tata1255,tat,Altaic,None,Turkic,RU,ch20,Kazan tatar,midd1325,Central Tatar,Eastern Europe,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1910,NA,675419,1897,50000,Altaic
Central Tibetans,ཁ་སང་kʰɛ55sa55‧,དེ་རིང་tʰə11rĩ13‧,སང་ཉིནsɛ̃55ȵĩ55‧,ཉིན།,ཁ་སང་ཉིན་སྔོན་མ།kʰɛ55ȵĩ55ka0‧,སང་ཉིན་གྱི་ཉིན་མོ།nɛ̃55ȵĩ55‧,ཉིན་གཉིས།,ཉིན་གཉིས་ཀྱི་གོང་དུ།,ད་ལྟ་ནས་ཉིན་གཉིས་འགོར་རྗེས།,ཉིན་བཞི།,ད་ལྟའི་ཉིན་བཞིའི་སྔོན་དུ།,ད་ནས་བཟུང་ཉིན་བཞི།,ཉིན་གསུམ།,ཉིན་གསུམ་སྔོན་ལ།,ད་ནས་བཟུང་ཉིན་གསུམ་འགོར་རྗེས།,1,1,1,0.5,0.5,1,4.5,NA,30,91,NA,NA,Sino-Tibetan,NA,NA,NA,Ee4,Central Tibetans,dbus1238,Ü,China,-1.249819275,0.666138049,0.152984961,0.025,0.025,0.025,0.405,0.605,1920,NA,4000000,None,5000-50000,Sino-Tibetan
Hebrew,אֶתמוֹל,הַיוֹם,מָחָר,היום,שלשום,מחרתיים,יומיים,יומיים לפני כן,יומיים אחרי עכשיו,ארבעה ימים,ארבעה ימים לפני כן,ארבעה ימים מהיום,שלושה ימים,שלושה ימים לפני כן,שלושה ימים מהיום,1,1,1,1,1,2,5,Eurasia,31.5,34.83333333,hebr1245,heb,Afro-Asiatic,NA,Semitic,IL,NA,NA,NA,NA,NA,0.616846912,0.716596131,-0.020874384,0.025,0.205,0.105,0.305,0.405,NA,NA,NA,NA,5000-50000,Afro-Asiatic
Turkish,dün,bugün,yarın,gün,dünden önceki gün,yarından sonraki gün,iki gün,şimdiden iki gün önce,şimdiden iki gün sonra,dört gün,şimdiden dört gün önce,şimdiden dört gün sonra,üç gün,şimdiden üç gün önce,şimdiden üç gün sonra,1,1,1,0.5,0.5,1,4,Eurasia,39,35,nucl1301,tur,Altaic,None,Turkic,TR,Ci5,Turks,nucl1301,Turkish,Western Asia,-1.07808678,0.749909778,0.218804572,0.05,0.05,0.05,0.45,0.65,1950,NA,NA,NA,50000,Altaic
Turkmen,düýn,Bu gün,ertir,NA,düýn bir gün öň,ertesi gün,iki gün,iki gün öň,iki günden soň,dört gün,dört gün öň,dört günden,üç gün,üç gün öň,üç günden,1,1,1,0.5,0,0.5,3.5,Eurasia,40,58,turk1304,tuk,Altaic,None,Turkic,TM,Eb5,Turkmen,turk1304,Turkmen,Middle Asia,-1.07808678,0.749909778,0.218804572,0.05,0.05,0.05,0.45,0.65,1910,NA,800000,1939,NA,Altaic
Galician,onte,hoxe,mañá,o día,antes de onte,pasadomañá 看Catalan语,dous días,dous días antes,dous días despois de agora,catro días,catro días antes,dentro de catro días,tres días,tres días antes,dentro de tres días,1,1,1,0,1,1,4,Eurasia,43,-8,gali1258,glg,Indo-European,None,Romance,ES,Ce2,Portuguese,gali1257,Galician Portuguese,Southwestern Europe,-0.766275293,0.761509216,-0.384160911,0.025,0.025,0.105,0.405,0.505,1950,with special reference to the village of Rio de Onor in the extreme northeast,NA,NA,None,Indo-European
Lithuanian,vakar,šiandien,rytoj,dieną,užvakar,poryt,dvi dienas,prieš dvi dienas,po dviejų dienų,keturias dienas,prieš keturias dienas,keturios dienos nuo dabar,tris dienas,prieš tris dienas,nuo trijų dienų,1,1,1,1,0,1,4,Eurasia,55,24,lith1251,lit,Indo-European,None,Baltic,LT,NA,Lithuanians,lith1251,Lithuanian,Eastern Europe,-0.766275293,0.761509216,-0.384160911,0.025,0.025,0.105,0.405,0.505,NA,NA,217000,1950,50000,Indo-European
Portuguese(Portugal),ontem,hoje,amanhã,o dia,anteontem,depois de amanhã,dois dias,dois dias antes de agora,dois dias depois de agora,quatro dias,quatro dias antes de agora,quatro dias a partir de agora,três dias,três dias antes de agora,três dias a partir de agora,1,1,1,1,0.5,1.5,4.5,Eurasia,39,-8,port1283,por,Indo-European,None,Romance,PT,NA,Portuguese,gali1257,Galician Portuguese,Southwestern Europe,-0.766275293,0.761509216,-0.384160911,0.025,0.025,0.105,0.405,0.505,1950,NA,None,NA,NA,Indo-European
Fula,kenya,hande,jango,ñalawma oo,ñalnde ko adii hanki,ñalawma caggal janngo,balɗe ɗiɗi,balɗe ɗiɗi ko adii jooni,balɗe ɗiɗi caggal jooni,balɗe nay,balɗe nay ko adii jooni,balɗe nay jooni,balɗe tati,balɗe tati ko adii jooni,balɗe tati caggal jooni,1,1,1,0.5,0.5,1,4,Africa,15,-14,pula1263,fuc,Niger-Congo,North-Central Atlantic,Peul-Serer,SN,Cb23,Tukulor,pula1263,Pulaar,West Tropical Africa,-0.766275293,0.761509216,-0.384160911,0.025,0.025,0.105,0.405,0.505,1930,NA,275000,1950,NA,Niger-Congo
Kurdish (Sorani),دوێنێ,ئەمڕۆ,بەیانی,ڕۆژەکە,ڕۆژێک پێش دوێنێ,ڕۆژی دوای سبەینێ,دوو ڕۆژ,دوو ڕۆژ پێش ئێستا,دوو ڕۆژ دوای ئێستا,چوار ڕۆژ,چوار ڕۆژ پێش ئێستا,چوار ڕۆژ لەمەودوا,سێ ڕۆژ,سێ ڕۆژ پێش ئێستا,سێ ڕۆژ لەمەودوا,1,1,1,0.5,0.5,1,4,Eurasia,36,44,cent1972,ckb,Indo-European,NA,Iranian,IR IQ,NA,Kurd,cent1972,Central Kurdish,Western Asia,-0.766275293,0.761509216,-0.384160911,0.025,0.025,0.105,0.405,0.505,NA,NA,30000000,1951,NA,Indo-European
Diyari,waldrawirti,karari,thangkuparna,,waldrawirti nguru ,thangkuparna nguru ,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,0.5,1,4,Australia,-28,139,dier1241,dif,Pama-Nyungan,NA,Central Pama-Nyungan,AU,Id4,Diyari,dier1241,Dieri,Australia,5.359221534,0.811094393,4.525554595,0.705,0.305,0.025,0.025,0.025,1900,NA,NA,NA,NA,Pama-Nyungan
Warlpiri,pirrarni,jalangu,jawarti,,yangkurra-kari,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0.5,0,0.5,3.5,Australia,-20,132.3333333,warl1254,wbp,Pama-Nyungan,NA,Western Pama-Nyungan,AU,Id10,Walbiri,warl1254,Warlpiri,Australia,5.452156735,0.873739913,4.14444565,0.605,0.405,0.025,0.025,0.025,1930,1400,NA,NA,NA,Pama-Nyungan
Acholi,la woro,tin,diki,nino ni,nino ma okato前一天,nino ma lubo diki后天 明天,nino aryo,nino aryo ma peya i kare ni,nino aryo inge kombedi,nino angwen,nino angwen ma peya i kare ni,nino angwen ki kombedi,nino adek,nino adek ma peya i kare ni,nino adek ki kombedi,1,1,1,0,0,0,3,Africa,3,32.66666667,acol1236,ach,Eastern Sudanic,Nilotic,Western Nilotic,UG SS,Ai32,Lugbara,lugb1240,Lugbara,East Tropical Africa,-0.656846303,0.931770266,0.536741409,0.105,0.025,0.025,0.405,0.505,1920,NA,240000,1929,NA,Nilo-Saharan
Irish,inné,inniu,amárach,an lae,an lá roimh inné,an lá i ndiaidh lae amárach,dhá lá,dhá lá roimhe sin,dhá lá tar éis anois,ceithre lá,ceithre lá roimhe seo,ceithre lá ó anois,trí lá,trí lá roimhe seo,trí lá ó anois,1,1,1,0.5,0.5,1,4,Eurasia,53,-8,iris1253,gle,Indo-European,None,Celtic,IE,Cg3,Irish,iris1253,Irish,Northern Europe,-0.582498142,0.981886682,0.231854253,0.025,0.105,0.025,0.405,0.505,1930,NA,50000,1930,2963000,Indo-European
Ndebele (Southern) Northern Ndebele,izolo,namhlanjesi,kusasa,ilanga,ilanga langaphambilini,ilanga elilandelako,amalanga amabili,amalanga amabili ngaphambi kwanjesi,ngemva kwamalanga amabili,amalanga amane,amalanga amane ngaphambi kwanje,amalanga amane ukusuka nje,amalanga amathathu,amalanga amathathu ngaphambi kwanje,amalanga amathathu ukusuka nje,1,1,1,0,0,0,3,Africa,-25.33333333,29,nort2795,nde,Niger-Congo,Benue-Congo,Bantu,ZA,Ab9,Ndebele,nort2795,Zimbabwean Ndebele,South Tropical Africa,-0.582498142,0.981886682,0.231854253,0.025,0.105,0.025,0.405,0.505,1870,NA,300000,1948,5000-50000,Niger-Congo
Tamazight,iḍelli,assa,azekka,ass-nni,ass uqbel iḍelli,ass n uzekka,sin wussan,sin wussan send tura,sin wussan mbeɛd tura,Rebɛa n wussan,Rebɛa wussan send tura,rebɛa wussan seg tura,Kraḍ wussan,Kraḍ wussan send tura,Kraḍ wussan seg tura,1,1,1,0.5,0.5,1,4,Africa,27.02,1.86,NA,tia,Afro-Asiatic,NA,NA,NA,Cd7,Beraber,cent2194,Central Moroccan Berber,Northern Africa,-0.582498142,0.981886682,0.231854253,0.025,0.105,0.025,0.405,0.505,1910,NA,450000,1925,NA,Afro-Asiatic
Tswana,maabane,gompieno,kamoso,letsatsi,letsatsi pele ga maabane,morago ga kamoso,malatsi a mabedi,malatsi a mabedi pele ga jaanong,malatsi a mabedi morago ga jaanong,malatsi a le manè,malatsi a le manè pele ga jaanong,malatsi a le mane go tloga jaanong,malatsi a le mararo,malatsi a le mararo pele ga jaanong,malatsi a le mararo go tloga jaanong,1,1,1,0.5,0,0.5,3.5,Africa,-24,26,tswa1253,tsn,Niger-Congo,Benue-Congo,Bantu,ZA BW,Ab13,Tswana,tswa1253,Tswana,Southern Africa,-0.582498142,0.981886682,0.231854253,0.025,0.105,0.025,0.405,0.505,1880,NA,NA,NA,NA,Niger-Congo
Zulu,izolo,namuhla,kusasa,usuku,ngayizolo,Usuku oluphambili kwa kusasa,izinsuku ezimbili,ezinsukwini ezimbili ngaphambili,emva kwezinsuku ezimbili manje,izinsuku ezine,ezinsukwini ezine ngaphambili manje,ezinsukwini ezine kusukela manje,izinsuku ezintathu,ezinsukwini ezintathu ngaphambili,ezinsukwini ezintathu kusukela manje,1,1,1,0,0.5,0.5,3.5,Africa,-30,30,zulu1248,zul,Niger-Congo,Benue-Congo,Bantu,ZA,Ab12,Zulu,zulu1248,Zulu,Southern Africa,-0.582498142,0.981886682,0.231854253,0.025,0.105,0.025,0.405,0.505,1830,NA,250000,1921,NA,Niger-Congo
Bashkir,кисэнге,бөгөн,иртәгә,көн .,кисәге көн,иртәгәнән һуңғы көн,ике көн .,ике көн элек,ике көндән һуң,дүрт көн .,дүрт көн элек,дүрт көндән,өс көн .,өс көн элек,өс көндән,1,1,1,0,0.5,0.5,3.5,Eurasia,53,58,bash1264,bak,Altaic,None,Turkic,RU,ch12,Bashkir,bash1264,Bashkir,Eastern Europe,-1.186145156,1.361534321,-0.010700666,0.025,0.025,0.025,0.505,0.505,1899,NA,1320000,1897,50000,Altaic
Chechen,селхана,тахана,кхана,де,селхана хьалхара де;,кхана тӀаьхьара де,ши де;,хӀинца ши де хьалха,хӀинца ши де даьлча;,диъ де;,диъ де хьалха,диъ де даьлча;,кхаа дийнахь;,хӀинца кхо де хьалха,3 де даьлча;,1,1,1,0,0.5,0.5,3.5,Eurasia,43.25,45.83333333,chec1245,che,Nakh-Daghestanian,None,Nakh,RU,Ci7,Chechen,chec1245,Chechen,Caucasus,-1.186145156,1.361534321,-0.010700666,0.025,0.025,0.025,0.505,0.505,1900,NA,400000,1939,NA,Northeast Caucasian
Sherpa,dang,haring,sala,,kharnup,nāa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,5,Eurasia,27.75,86.83333333,sher1255,xsr,Sino-Tibetan,Tibeto-Burman,Bodic,NA,Ee6,Sherpa,sher1255,Solu-Khumbu Sherpa,China,-1.186145156,1.361534321,-0.010700666,0.025,0.025,0.025,0.505,0.505,1950,NA,NA,1931,200-399,Sino-Tibetan
Nuer,pan,ɛnwa̱lɛ,irun,kɛ cäŋ,kɛ cäŋ ëë nhiam,kɛ cäŋ kä ruun,ni̱n da̱ŋ rɛw,kɛ ni̱n da̱ŋ rɛw ɛ ŋot /kenɛ ni̱ cop,kɛ kɔr ni̱ni da̱ŋ rɛw ɛntäämɛ,ni̱n da̱ŋ ŋuaan,kɛ ni̱n da̱ŋ ŋuaan ɛ ŋot /kenɛ ni̱ cop,kɛ ni̱n da̱ŋ ŋuaan ɛ tuɔɔk ni̱ ɛntäämɛ,kɛ ni̱n da̱ŋ diɔ̱k,kɛ ni̱n diɔ̱k ɛ ŋot /kenɛ ni cop ɛntäämɛ,kɛ ni̱n da̱ŋ diɔ̱k ɛ tuɔɔk ni̱ ɛntäämɛ,1,1,1,0.5,0,0.5,3.5,Africa,8.333333333,32,nuer1246,nus,Eastern Sudanic,Nilotic,Western Nilotic,ET SS,Aj3,Nuer,nuer1246,Nuer,Northeast Tropical Africa,-0.702601174,1.456905488,-0.547846538,0.025,0.025,0.105,0.505,0.405,1930,NA,430000,1931,NA,Nilo-Saharan
Icelandic,í gær,í dag,á morgun,daginn,í fyrradag,daginn eftir á morgun,tvo daga,tveimur dögum áður,tveimur dögum síðar,fjóra daga,fjórum dögum áður,eftir fjóra daga,þrjá daga,þremur dögum áður,eftir þrjá daga,0.5,0.5,0.5,0.5,0.5,1,2.5,Eurasia,65,-17,icel1247,isl,Indo-European,None,Germanic,IS,Cg2,Icelanders,icel1247,Icelandic,Northern Europe,1.780028534,1.530517844,-1.483134708,0.025,0.205,0.305,0.405,0.105,NA,NA,50000,1950,NA,Indo-European
Balochi,زِی,مرچی,باندا,روش,کل ئا شہ پیشا روش,باندا پذا روش,دو روش,کل ئا شہ پیشا روش,باندا پذا روش,چار روش,چہ نوں چار روچ پیسر,چار روچ ءَ پد,سئے روش,چہ نوں سئے روچ پیسر,چہ نوں سئے روچ ءَ,1,1,1,0,0.5,0.5,3.5,Eurasia,28,62,west2368,bgn,Indo-European,NA,Iranian,NA,Ea10,Marri,east2304,Eastern Balochi,Indian Subcontinent,-0.593172184,1.627166538,0.373055782,0.105,0.025,0.025,0.505,0.405,1950,NA,60000,1955,50,Indo-European
Oromo,kaleessa,har'a,boor,guyyaa,guyyaa kaleessaa duraa,guyyaa boruu itti aanu,guyyaa lama,amma guyyaa lama dura,amma guyyaa lama booda,guyyaa afuriif,amma guyyaa afur dura,guyyaa afur booda,guyyaa sadii,amma guyyaa sadii dura,guyyaa sadii booda,1,1,1,0.5,0,0.5,3.5,Africa,4.5,38.5,bora1271,gax,Afro-Asiatic,Cushitic,Lowland East Cushitic,KE ET,Ca11,Arusi,bora1271,Borana-Arsi-Guji Oromo,Northeast Tropical Africa,-0.518824023,1.677282954,0.068168626,0.025,0.105,0.025,0.505,0.405,1890,NA,NA,NA,None,Afro-Asiatic
Yakut,бэҕэһээ,бүгүн,сарсын,күн,бэҕэһээҥҥи күн,сарсыҥҥы күн,икки күн,билигин икки хонук иннинэ,билигин икки хонон баран,түөрт күн,түөрт күн иннинэ,түөрт күнүнэн,үс күн,билигин үс хонук иннинэ,үс хонугунан,1,1,1,0,0,0,3,Eurasia,62,130,yaku1245,sah,Altaic,None,Turkic,RU,Ec2,Yakut,yaku1245,Sakha,Siberia,1.823247755,1.73688734,-0.450090911,0.105,0.205,0.205,0.405,0.105,1900,NA,245000,1900,50-99,Altaic
Dinka,wäär,akölë,në ruun de,Aköl,Aköl tueŋ wäär,miäkduur,nïn karou,nïn kaarou tueŋ,nïn kaarou cï tëëk,nïn kaŋuan,nïn kaŋuan tueŋ,nïn kaŋuan ëmɛn,nïn kadiäk,nïn kadiäk tueŋ,nïn kadiäk ëmɛn,1,1,1,0.5,0,0.5,3.5,Africa,8.5,28,dink1262,din,Eastern Sudanic,Nilotic,Western Nilotic,SS,Aj11,Dinka,sout2832,Southwestern Dinka,Northeast Tropical Africa,-0.03528004,1.772654121,-0.468977245,0.025,0.105,0.105,0.505,0.305,1900,NA,500000,NA,1952,Nilo-Saharan
Uzbek,kecha,bugun,ertaga,kun,kechadan oldingi kun;,ertadan keyin (indin),ikki kun,hozirdan ikki kun oldin,ikki kundan keyin,to'rt kun,to'rt kun oldin,to'rt kundan keyin,uch kun,bundan uch kun oldin,uch kundan keyin,1,1,1,0.5,0,0.5,3.5,Eurasia,39,66,uzbe1247,None,Altaic,None,Turkic,UZ AF,Eb8,Uzbek,nort2690,Northern Uzbek,Middle Asia,0.514473711,1.831916841,-1.118264594,0.025,0.105,0.205,0.505,0.205,1800,NA,16750,1924,NA,Altaic
Abkhaz,иацы,иахьа,уаҵәы,Амш,иацтәи амш,уаҵәашьҭахьтәи амш,ҩымш,ҩымш раԥхьа,ҩымш рышьҭахь уажәшьҭа,ԥшьымш,Уажәы ԥшьымш раԥхьа,Уажәшьҭа ԥшьымш рышьҭахь,Хымш,Уажәы хымш раԥхьа,Уажәшьҭа хымш рышьҭахь,1,1,1,0,0,0,3,Eurasia,43.08333333,41,abkh1244,abk,Northwest Caucasian,None,Northwest Caucasian,GE,Ci12,Abkhaz,abkh1244,Abkhaz,Caucasus,-0.529498065,2.32256281,0.209370155,0.105,0.025,0.025,0.605,0.305,1880,NA,NA,NA,200-399,Northwest Caucasian
Arabic,أمس,اليوم,غدًا,اليوم,قبل أمس,بعد غد,يومين,يومين قبل الآن,يومين بعد الآن,أربعة أيام,أربعة أيام قبل الآن,أربعة أيام من الآن,ثلاثة أيام,ثلاثة أيام قبل الآن,ثلاثة أيام من الآن,1,1,1,0.5,0.5,1,4,Africa,30,31,egyp1253,arz,Afro-Asiatic,NA,Semitic,EG,Cd18,Saadi,said1239,Saidi Arabic,Northern Africa,-0.455149904,2.372679226,-0.095517001,0.025,0.105,0.025,0.605,0.305,1920,NA,38000,1940,Missing data,Afro-Asiatic
Sami,ikte,otne,ihttin,beaivvi,ovddit beaivvi,ihttin,guokte beaivvi,guokte beaivvi ovdal dál,guokte beaivvi maŋŋel dál,njeallje beaivvi,njeallje beaivvi ovdal dál,njeallje beaivvi geahčen,golbma beaivvi,golbma beaivvi ovdal dál,golbma beaivvi geahčen,1,1,1,0,0,0,3,Eurasia,64.66666667,16.75,sout2674,sma,Uralic,Finno-Ugric,Saami,SE,Cg4,Sami,nort2671,North Saami,Northern Europe,1.31388204,2.814086677,-1.143502621,0.025,0.205,0.205,0.605,0.025,1950,Konkama District,200,1951,50,Uralic
Qafar(Afar),kimal,asaaku,beera,ayro,kimal naharat tan ayro,beeraak lakal tan ayro,namma ayro,namma ayrok naharal,namma ayrok lakal,affara ayro,affara ayrok naharal,Tawakaak xabba haanam affara ayroh addat,sidiica ayro,sidiica ayrok naharal,sidiica ayrok xabba haanam,1,1,1,0,0.5,0.5,3.5,Africa,12,42,afar1241,aar,Afro-Asiatic,Cushitic,Lowland East Cushitic,ET ER DJ,Ca6,Afar,afar1241,Afar,Northeast Tropical Africa,0.037653175,3.76076553,-0.637430978,0.105,0.025,0.105,0.805,0.025,1880,NA,110000,1950,100-199,Afro-Asiatic
Kazakh,кеше,бүгін,ертең,күні,алдыңғы күн,ертеңгі күні,екі күн,осыдан екі күн бұрын,екі күннен кейін,төрт күн,осыдан төрт күн бұрын,төрт күннен кейін,үш күн,осыдан үш күн бұрын,үш күннен кейін,1,1,1,0,0.5,0.5,3.5,Eurasia,50,70,kaza1248,kaz,Altaic,None,Turkic,KZ,Eb1,Kazakh,kaza1248,Kazakh,Middle Asia,-0.327801665,3.76347177,-0.422888255,0.025,0.105,0.025,0.805,0.105,1910,NA,NA,NA,50-99,Altaic
Mongolian,өчигдөр,өнөөдөр,маргааш,өдөр,өмнөх өдөр,маргааш нь,хоёр өдөр,одооноос хоёр хоногийн өмнө,хоёр хоногийн дараа,дөрвөн өдөр,одоогоос дөрөв хоногийн өмнө,одооноос дөрөв хоногийн дараа,гурван өдөр,одооноос гурван өдрийн өмнө,одооноос гурав хоногийн дараа,1,1,1,0,0,0,3,NA,48.324,106.289,halh1238,NA,Mongolic-Khitan,NA,NA,NA,Eb3,Khalka,halh1238,Halh Mongolian,Mongolia,-0.327801665,3.76347177,-0.422888255,0.025,0.105,0.025,0.805,0.105,1940,NA,NA,NA,50,Altaic
Somali,shalay,maanta,berrito,maalinta,maalin ka hor shalay,beri ka dib,laba maalmood,laba maalmood ka hor hadda,laba maalmood ka dib hadda,afar maalmood,afar maalmood ka hor hadda,afar maalmood ka dib,saddex maalmood,saddex maalmood ka hor hadda,saddex maalmood ka dib,1,1,1,0.5,0,0.5,3.5,Africa,3,45,soma1255,som,Afro-Asiatic,Cushitic,Lowland East Cushitic,SO,Ca2,Somali (Dolbahanta),nort3051,Northern Somali,Northeast Tropical Africa,-0.970206376,4.257017239,-0.684219591,0.025,0.025,0.025,0.93,0.105,1950,NA,NA,NA,50,Afro-Asiatic